Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Location,Transaction_Time,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Is_Fraud
T1,C2539,8527.58,Deposit,"Hughesmouth, Mongolia",2025-01-20 03:17:34,Mobile,16,740,0,0
T2,C5318,9275.82,Deposit,"Huntville, Saint Pierre and Miquelon",2025-01-03 18:08:56,Web,5,848,0,1
T3,C8262,2202.49,Online Payment,"Patriciashire, Iceland",2025-01-24 05:54:01,ATM,2,616,1,1
T4,C3865,9352.32,Deposit,"Port Timothymouth, Palau",2025-01-19 01:15:30,ATM,9,437,1,0
T5,C7248,2081.75,Online Payment,"Lake Stevenfurt, Mauritius",2025-01-08 18:06:13,ATM,15,494,0,0
T6,C2503,962.02,Online Payment,"West Amandaborough, Uzbekistan",2025-01-22 23:16:29,Mobile,20,632,0,0
T7,C6268,8903.61,Withdrawal,"New Melissastad, Chad",2025-01-13 10:19:30,ATM,4,475,0,1
T8,C5993,8897.88,Transfer,"Samanthaberg, Georgia",2025-02-13 04:47:04,Mobile,12,427,1,1
T9,C3817,98.52,Withdrawal,"South Triciamouth, Guernsey",2025-02-04 11:13:51,Web,20,471,1,1
T10,C6202,6810.18,Withdrawal,"South Aliciamouth, Tonga",2025-01-30 10:25:51,ATM,9,457,0,1
T11,C6517,6227.5,Online Payment,"Christophershire, Guernsey",2025-01-30 06:19:09,Mobile,4,516,1,0
T12,C4364,7416.02,Deposit,"Kellyberg, Reunion",2025-02-13 07:16:47,Mobile,16,450,0,0
T13,C5748,2625.59,Online Payment,"Kevinborough, Wallis and Futuna",2025-02-01 03:52:54,ATM,12,601,0,0
T14,C4117,7044.32,Withdrawal,"Lake Timshire, Western Sahara",2025-02-02 16:43:54,Web,8,521,0,0
T15,C9211,6101.25,Transfer,"Johnnyburgh, Bermuda",2025-01-03 06:09:32,POS Terminal,12,631,1,0
T16,C5051,3693.65,Withdrawal,"Huangside, Venezuela",2025-02-10 16:41:59,POS Terminal,7,369,1,1
T17,C4375,9990.64,Online Payment,"Graymouth, Liberia",2025-01-26 06:14:59,Web,16,309,1,1
T18,C5203,9028.65,Withdrawal,"Nicoletown, Serbia",2025-02-01 16:45:50,Mobile,9,609,1,1
T19,C9484,5735.57,Transfer,"New Christophertown, Russian Federation",2025-02-08 00:48:11,Mobile,2,582,1,0
T20,C9309,3699.37,Transfer,"Bethshire, Nicaragua",2025-01-28 04:17:08,Mobile,7,640,0,1
T21,C7382,9066.63,Transfer,"Collinshaven, France",2025-02-11 01:17:07,Web,6,348,1,0
T22,C8806,8511.14,Online Payment,"Dickersonfurt, Seychelles",2025-01-03 12:25:54,Web,15,334,0,0
T23,C3178,7282.03,Online Payment,"South Shane, Guam",2025-01-07 10:58:37,ATM,9,756,1,0
T24,C5764,5441.45,Transfer,"Alexview, Guam",2025-01-16 06:41:17,Web,19,515,1,0
T25,C5507,2636.07,Online Payment,"Morrisfurt, Turkey",2025-01-04 17:11:20,POS Terminal,6,538,0,0
T26,C3963,4839.6,Transfer,"Port Thomas, Netherlands",2025-01-07 05:18:12,ATM,18,397,1,1
T27,C5630,4172.15,Withdrawal,"New Jacktown, Heard Island and McDonald Islands",2025-02-06 10:14:09,POS Terminal,20,788,0,0
T28,C1784,834.98,Deposit,"Lake Kathyton, Guinea-Bissau",2025-02-05 21:46:26,Mobile,2,472,1,1
T29,C7507,441.92,Withdrawal,"West Kimberlyton, Austria",2025-01-11 11:34:19,Web,5,651,0,0
T30,C1549,3784.53,Online Payment,"Amandaside, Nicaragua",2025-02-13 08:50:04,ATM,9,780,1,0
T31,C9088,2368.67,Online Payment,"Harrisonberg, Cayman Islands",2025-02-04 13:30:14,POS Terminal,18,719,0,0
T32,C1370,2706.86,Transfer,"Elizabethville, Cote d'Ivoire",2025-02-09 08:04:04,POS Terminal,8,653,0,0
T33,C6889,4027.14,Transfer,"Andersenton, South Georgia and the South Sandwich Islands",2025-02-13 15:08:59,POS Terminal,7,636,0,0
T34,C8804,6927.39,Transfer,"East Kaitlinside, Cook Islands",2025-01-29 20:30:19,Web,10,518,1,0
T35,C4716,6951.21,Online Payment,"West Kimberly, Togo",2025-02-06 12:20:48,Mobile,10,817,0,0
T36,C3655,3530.72,Deposit,"Lake David, Sudan",2025-02-08 03:20:00,ATM,7,461,0,0
T37,C1532,3536.25,Deposit,"Russellburgh, Tonga",2025-01-06 06:54:48,ATM,6,645,1,1
T38,C5851,7329.93,Withdrawal,"West Kevin, Congo",2025-01-04 02:17:56,ATM,14,316,1,1
T39,C5499,2112.87,Online Payment,"East Ashleyport, Senegal",2025-01-20 20:38:24,Mobile,1,689,0,0
T40,C5435,5345.94,Online Payment,"Sanchezside, Bouvet Island (Bouvetoya)",2025-01-28 18:19:08,POS Terminal,10,540,1,1
T41,C5511,3172.32,Withdrawal,"Johnstad, Antarctica (the territory South of 60 deg S)",2025-01-31 13:14:21,Web,4,490,0,0
T42,C1120,52.28,Transfer,"Katherinemouth, Egypt",2025-02-13 03:45:07,Mobile,3,594,0,0
T43,C3473,773.51,Deposit,"West Caitlinland, Monaco",2025-01-30 18:12:35,Mobile,9,307,0,1
T44,C1846,7694.72,Deposit,"West Vanessa, Belgium",2025-01-14 04:00:47,Mobile,19,624,0,0
T45,C2940,3700.85,Deposit,"Lake Selena, Iran",2025-02-12 04:56:57,ATM,20,624,1,0
